period,department,category,budget,actual
2024-05,IT,Software,17816.01,19101.84
2024-05,IT,Support,24517.83,25258.7
2024-06,Marketing,Ads,20616.89,24766.83
2024-06,Marketing,Events,17398.07,19461.99
2024-06,Marketing,Content,11016.08,13628.98
2024-06,Marketing,SEO,25235.91,21741.07
2024-06,Engineering,Cloud,11336.93,13731.97
2024-06,Engineering,Dev Tools,15769.33,15878.1
2024-06,Engineering,Security,24281.85,25019.15
2024-06,Engineering,Consulting,29349.06,36093.71
2024-06,HR,Recruiting,31061.0,57738.49
2024-06,HR,Training,12433.77,11763.07
2024-06,HR,Benefits,13386.24,13521.72
2024-06,Finance,Audit,15129.66,18151.46
2024-06,Finance,Software,26458.38,31186.92
2024-06,Finance,Advisory,24847.48,22319.36
2024-06,Sales,Travel,21615.25,21227.04
2024-06,Sales,CRM,30363.39,26801.87
2024-06,Sales,Training,21299.78,25502.66
2024-06,Operations,Supplies,25393.05,25347.06
2024-06,Operations,Maintenance,13971.96,15902.97
2024-06,Operations,Logistics,11390.4,13529.24
2024-06,IT,Hardware,25445.27,27049.52
2024-06,IT,Software,16402.02,17641.78
2024-06,IT,Support,19313.04,23295.59
2024-07,Marketing,Ads,15000.56,15628.08
2024-07,Marketing,Events,21094.59,21572.68
2024-07,Marketing,Content,27259.96,29394.73
2024-07,Marketing,SEO,11175.13,9532.54
2024-07,Engineering,Cloud,10556.49,9760.82
2024-07,Engineering,Dev Tools,15244.99,13069.48
2024-07,Engineering,Security,21623.65,26765.5
2024-07,Engineering,Consulting,17063.63,19067.87
2024-07,HR,Recruiting,19615.28,23252.6
2024-07,HR,Training,25354.8,26925.17
2024-07,HR,Benefits,16226.65,14794.57
2024-07,Finance,Audit,25058.41,25852.94
2024-07,Finance,Software,11736.72,13778.32
2024-07,Finance,Advisory,21213.56,22046.54
2024-07,Sales,Travel,18118.95,21421.09
2024-07,Sales,CRM,17578.03,16382.74
2024-07,Sales,Training,9194.41,10911.3
2024-07,Operations,Supplies,33461.41,39486.24
2024-07,Operations,Maintenance,5437.83,5402.66
2024-07,Operations,Logistics,16108.79,18291.74
2024-07,IT,Hardware,12948.52,13610.03
2024-07,IT,Software,19129.44,16769.78
2024-07,IT,Support,17019.02,18739.36
2024-08,Marketing,Ads,26120.13,27378.32
2024-08,Marketing,Events,20638.04,20115.66
2024-08,Marketing,Content,9382.84,10655.4
2024-08,Marketing,SEO,23034.48,20598.65
2024-08,Engineering,Cloud,13779.89,14688.6
2024-08,Engineering,Dev Tools,10447.84,11560.11
2024-08,Engineering,Security,8916.4,10999.54
2024-08,Engineering,Consulting,28892.33,35506.16
2024-08,HR,Recruiting,18654.26,15991.26
2024-08,HR,Training,12328.83,30927.7
2024-08,HR,Benefits,13788.67,12146.83
2024-08,Finance,Audit,20968.24,18772.77
2024-08,Finance,Software,31876.66,38186.92
2024-08,Finance,Advisory,7726.59,8867.8
2024-08,Sales,Travel,15563.11,15809.03
2024-08,Sales,CRM,12864.72,14730.11
2024-08,Sales,Training,12973.66,12315.78
2024-08,Operations,Supplies,32500.54,32336.66
2024-08,Operations,Maintenance,13995.61,14780.34
2024-08,Operations,Logistics,9448.1,8353.44
2024-08,IT,Hardware,14438.05,14566.95
2024-08,IT,Software,7448.59,8193.38
2024-08,IT,Support,23621.59,27406.02
2024-09,Marketing,Ads,28264.01,29643.43
2024-09,Marketing,Events,32420.03,39826.26
2024-09,Marketing,Content,16557.18,19376.86
2024-09,Marketing,SEO,29360.8,25274.9
2024-09,Engineering,Cloud,16991.84,18487.45
2024-09,Engineering,Dev Tools,14389.84,13602.33
2024-09,Engineering,Security,18964.79,22418.05
2024-09,Engineering,Consulting,28558.47,27975.76
2024-09,HR,Recruiting,18782.57,16164.52
2024-09,HR,Training,34029.61,40052.09
2024-09,HR,Benefits,6360.02,5493.1
2024-09,Finance,Audit,6990.47,7161.4
2024-09,Finance,Software,20261.82,18148.42
2024-09,Finance,Advisory,26819.44,48387.68
2024-09,Sales,Travel,13664.76,12806.74
2024-09,Sales,CRM,30911.98,16308.66
2024-09,Sales,Training,11300.2,9908.81
2024-09,Operations,Supplies,15946.46,13624.63
2024-09,Operations,Maintenance,27064.79,25719.46
2024-09,Operations,Logistics,17130.81,17186.58
2024-09,IT,Hardware,11080.2,10235.31
2024-09,IT,Software,25741.38,24852.72
2024-09,IT,Support,18463.47,22704.95
2024-10,Marketing,Ads,29756.86,28506.02
2024-10,Marketing,Events,27926.77,34408.43
2024-10,Marketing,Content,10178.77,8957.88
2024-10,Marketing,SEO,16401.62,16957.19
2024-10,Engineering,Cloud,31476.65,30181.64
2024-10,Engineering,Dev Tools,29636.39,26812.85
2024-10,Engineering,Security,23270.43,28698.69
2024-10,Engineering,Consulting,19683.47,22181.51
2024-10,HR,Recruiting,23806.67,29640.9
2024-10,HR,Training,11389.0,14233.3
2024-10,HR,Benefits,16427.2,18545.79
2024-10,Finance,Audit,23676.19,27657.03
2024-10,Finance,Software,23442.91,58065.31
2024-10,Finance,Advisory,23062.67,26026.58
2024-10,Sales,Travel,20160.05,23619.33
2024-10,Sales,CRM,14833.58,17865.44
2024-10,Sales,Training,14347.21,30133.87
2024-10,Operations,Supplies,24691.64,30844.15
2024-10,Operations,Maintenance,14449.65,15638.89
2024-10,Operations,Logistics,12440.63,12671.31
2024-10,IT,Hardware,7518.57,7284.0
2024-10,IT,Software,19594.63,16795.53
2024-10,IT,Support,20393.29,18349.38
2024-11,Marketing,Ads,13316.59,13543.4
2024-11,Marketing,Events,18786.17,23401.44
2024-11,Marketing,Content,40026.68,37714.25
2024-11,Marketing,SEO,10325.16,9687.01
2024-11,Engineering,Cloud,33822.39,37269.27
2024-11,Engineering,Dev Tools,26093.23,24895.37
2024-11,Engineering,Security,23620.16,27785.18
2024-11,Engineering,Consulting,11079.97,13384.26
2024-11,HR,Recruiting,16642.72,15008.51
2024-11,HR,Training,22983.01,24599.7
2024-11,HR,Benefits,4206.09,9646.06
2024-11,Finance,Audit,18578.18,16357.21
2024-11,Finance,Software,21766.49,26394.17
2024-11,Finance,Advisory,12889.36,12332.69
2024-11,Sales,Travel,22067.83,20146.52
2024-11,Sales,CRM,30176.36,33859.57
2024-11,Sales,Training,38693.8,47768.5
2024-11,Operations,Supplies,14225.24,13998.31
2024-11,Operations,Maintenance,27234.82,31392.33
2024-11,Operations,Logistics,22099.01,24369.14
2024-11,IT,Hardware,4719.01,5447.67
2024-11,IT,Software,7761.24,9490.53
2024-11,IT,Support,30640.54,37654.74
2024-12,Marketing,Ads,14207.02,12405.12
2024-12,Marketing,Events,44000.16,54452.45
2024-12,Marketing,Content,7484.3,6558.12
2024-12,Marketing,SEO,13606.55,14115.65
2024-12,Engineering,Cloud,24287.86,28668.62
2024-12,Engineering,Dev Tools,24105.41,26800.5
2024-12,Engineering,Security,14008.82,16005.19
2024-12,Engineering,Consulting,26071.27,25020.24
2024-12,HR,Recruiting,22430.02,25757.18
2024-12,HR,Training,22048.67,26364.55
2024-12,HR,Benefits,9828.45,8712.59
2024-12,Finance,Audit,33515.3,36883.19
2024-12,Finance,Software,26002.42,11522.82
2024-12,Finance,Advisory,16466.68,17674.76
2024-12,Sales,Travel,9672.44,10505.29
2024-12,Sales,CRM,9889.79,11098.15
2024-12,Sales,Training,12377.44,13961.66
2024-12,Operations,Supplies,24219.66,21603.26
2024-12,Operations,Maintenance,7404.39,7722.35
2024-12,Operations,Logistics,9586.56,9400.43
2024-12,IT,Hardware,12799.58,15101.02
2024-12,IT,Software,24002.67,27021.87
2024-12,IT,Support,17737.42,21828.03
